id,text,labeler_a_label,labeler_b_label,notes
odc_0012,"Hi [USER] The Codex team reset it all for everyone on a paid subscription due to having noticed issues over the past 24 hours. Codex being the epic team that they are do resets like this to show the users appreciation during times when things may be a bit wonky with the tool. Sort of a “sorry this happened, but we care so want to reset limits for you all as a thanks for understanding”. This was one of those cases. If you follow Tibo on X you see when he does the resets. [URL] That should answer all the questions you had tbh. But if not, I will try to help you out here in the order you listed: See X post I linked. Again, this happens every so often by the Codex team so its great to follow them on X. they are gone. you get to start fresh. they dont roll forward. you start fresh They are determined by the Codex team when they feel a reset is warranted. Again, follow them on X and you can se",actionable,,
odc_0017,model property in request parameter is missing. [URL] model property is missing in Request body section.,opinion_or_request,,
odc_0030,Seems the prompt caching is broken (at least for GPT 5.5 and 5.4) It used to work a few days ago. Does anyone else have the same problems?,underspecified,,
odc_0032,"Hello Everyone, Codex app constantly Context automatically compacted ( every request ) which lead to waste of credits (financial aspect and limits ) without completing any task. Platform Mac Arm latest version Version 26.616.41845 • Released Jun 19, 2026 Please see attached screenshot . The question is app should be production ready or it in some earlier stages ? Also constant crashes like time to time it just quits . I can provide crash reports .3 Screenshot 2026-06-20 at 6.56.55 PM 1920×1642 216 KB",actionable,,
odc_0033,"You’re very right, we’re on this right now. My only suggestion here: make sure it’s about the user’s intent and not about getting your app surfaced so the signal remains",opinion_or_request,,
odc_0037,"Yeah—this is actually very much possible now. What you’re describing is basically turning your eCommerce app into something that feels like a real store assistant, not just a search bar… and honestly, that’s where things are heading. I’ve seen similar use cases discussed in a few practical AI implementation guides on the TechQware blog as well, and the key idea is: don’t think of it as “just a chatbot”, think of it as a system. So coming to your points: 1) Voice-based welcome after login Yeah you can do this. Like when user logs in → trigger a welcome message → optional voice interaction. You’ll need: speech-to-text (user voice → text) OpenAI Assistant (understands + replies) text-to-speech (reply back in voice) Just one thing… don’t make it too aggressive. Auto-speaking bots can get annoying fast 2) Product search + recommendations This is where it really shines. Instead of typing keywo",opinion_or_request,,
odc_0041,"Translated by AI Click to see original version Trigger-Based Dependency Memory System for LLM Agents Концепция Современные LLM обладают большим окном контекста, однако даже при очень больших размерах контекста остаются фундаментальные проблемы: потеря дальних зависимостей; нарушение архитектуры проекта; ломание кода при локальных изменениях; отсутствие устойчивого понимания последствий изменений; неэффективное использование контекста. Человек-программист обычно не удерживает в памяти весь проект целиком. Вместо этого он использует: ассоциативные связи; память о последствиях; “опасные места”; архитектурные ограничения; понимание зависимостей. Предлагается система: Trigger-Based Dependency Memory (TDM) где ИИ хранит не только информацию, но и: последствия изменений; критические зависимости; архитектурные ограничения; предупреждения; накопленные уроки. Основная идея При работе с объектом пр",opinion_or_request,,
odc_0044,"Spent another couple of hours building this: github.com GitHub - TechSpokes/skill-postgres-introspection: AI Agent Skill for Postgres Database Introspection AI Agent Skill for Postgres Database Introspection Help yourself, help your agents helping you",underspecified,,
odc_0049,I think the problem is the image analyzer not the AI. The AI can’t see - it relies on basically OCR for something like this. And that can have errors. try next time to block out the board? Perhaps also specify that the larger characters on the tiles are always letters and the smaller characters on the tile are always numbers.,underspecified,,
odc_0051,"You mean like this, so you can explain to your video call avatar what they should do? Try CRDT… Ah and welcome to the developer community - where we steal your ideas long before you write them here haha.",actionable,,
odc_0054,"maybe this is wrong place, i have since joined the discord and and waiting to be able to post there",opinion_or_request,,
odc_0062,"There is no specific landing for “settings” The destination is either your user account profile: [URL] Or the cookied or default organization: [URL] With a correct link to a path requiring authorization, perhaps redirection after any required login will then work for you.",opinion_or_request,,
odc_0069,Oh man the “iteration prison” part is so true I tried to vibe code a Letter Boxed game (the NYT word puzzle) and it started fine but then so many bugs kept popping up and every fix just created new problems. It was exhausting. Did Codex Ask help you actually understand what was going wrong or did it just give you the answer? Like would it work for game logic stuff too or is it more for API type problems?,underspecified,,
odc_0070,Create draft is the way to go. It will look like this Screenshot 2026-05-19 at 8.49.51 PM 1124×348 13.3 KB,actionable,,
