id,text,label,split,source_url,topic_id,post_id,post_number,category,topic_title,annotation_note
odc_0001,"Personally, I saw cost exploding when the context window was not thought through. Stacking and compressing is not the best approach (at least for what I usually do). I prefer what I call “composition”, where the context is processed in small tasks separately, then results from there are assembled into “answer context” and finally the model gets you the answer you attach to the conversation. But it’s me who pulls the context from the conversation, so I have more control there.",actionable,train,https://community.openai.com/t/how-do-you-forecast-what-an-ai-feature-will-actually-cost-before-you-build-it/1382064/4,1382064,1901251,4,API,How do you forecast what an AI feature will actually cost — before you build it?,concrete technical details/code/error context
odc_0002,"AI tools and models like GPT-5.5 are becoming more capable across coding, writing, research, operations, design, analysis, and many other workflows. I’m curious how far people here are getting in practice: How much of your own work can you automate today? Are you mostly automating tasks where you already have professional judgment, or using AI for support tasks outside your core expertise? Where does the remaining work show up? Is it review, correction, integration, accountability, domain knowledge, taste, or edge cases? Is the hardest part still at the end, or is it spread throughout your workflow? As these tools mature, cost could become part of the discussion too. If today’s usage benefits from subsidized inference costs, which workflows would you still consider worth paying for at closer to real cost? Looking forward to what you want to share!",actionable,train,https://community.openai.com/t/a-g-i-and-you-how-much-of-your-own-work-can-you-automate/1379707/1,1379707,1892219,1,Community,A(G)I and you: how much of your own work can you automate?,concrete technical details/code/error context
odc_0003,"Good day. First, I’d like to say that Codex has become such an incredible, powerful tool. I hardly write code anymore - what a paradigm shift! It’s remarkable to look back and recall how seamlessly we have transitioned. Naturally, cost and power intertwine. We spend moar, and/or strategize to reduce cost. As a result, I have been using ChatGPT w/ GitHub connector to plan and debug, while using Codex to execute, and have been wondering if anyone else has done so? Advantages Doesn’t cost Codex credits Is much easier for back-and-forth Can be used in any typical conversation Disadvantages I imagine the model isn’t as suitable as Codex, and more likely to make bad decisions? However, I haven’t really been able to notice any difference Wonder if anyone else has adopted this strategy, and what they’ve seen. I imagine this would be effective for many use-cases - not strictly coding.",underspecified,train,https://community.openai.com/t/using-chatgpt-for-planning-vs-codex/1382876/1,1382876,1903611,1,Codex,Using ChatGPT for Planning vs Codex?,help/problem report without enough context
odc_0004,"I have same issue, business account, case # 07063870 , stuck on account deactivated.",underspecified,train,https://community.openai.com/t/active-subscription-locked-behind-a-deactivated-workspace/1378191/2,1378191,1886521,2,Community,Active subscription locked behind a deactivated workspace,help/problem report without enough context
odc_0005,"Answer, in two parts: Files uploaded to storage are forever available until you delete them. There is a new feature where you can set an expiration length on files, maximum 30 days. Vector stores are persistent, available until you delete them. You are billed a daily per-GB rate for vector store data, with the first gigabyte free. The only exception is in Assistants, where an auto-created thread vector store lasts for seven days. Whether using a hosted file_search tool in a chat AI, or using the search API to retrieve the text of results, the same vector stores are used, with the same storage policy. Therefore, for your last sentence: vector stores having a single policy thus doesn’t affect the method you employ to use the vector stores you have created.",actionable,test,https://community.openai.com/t/need-to-understand-retention-of-files-for-vector-search/1366458/2,1366458,1853534,2,Documentation,Need to understand retention of files for vector search,specific implementation or diagnostic details
odc_0006,"We’ve published our Chotot app to marketplace. However, when we try accessing the app landing page, we notice that the logo and cover images are broken. After testing with a few clients and network (office, home, 5G, colleagues in Singapore), we realized that somehow the images are being blocked for Vietnam-located audience. Additionally, we observed that other app listings also experience broken images. Apart from that, we tried as users and were able to connect the app to ChatGPT and successfully interact with the application. The broken images in the marketplace are preventing us to launch the app for Vietnam users. Screenshot 2026-05-28 at 12.13.43 1114×1017 133 KB",actionable,train,https://community.openai.com/t/app-listing-on-marketplace-see-broken-logo-and-images/1381937/1,1381937,1900499,1,ChatGPT Apps SDK,App listing on marketplace see broken logo and images,concrete technical details/code/error context
odc_0007,"Are all the TTS models unavailable? None of them seems to respond successfully and they all have just “–” for latency, throughput and 0% for uptime? Thanks",underspecified,train,https://community.openai.com/t/are-all-the-tts-speech-models-down/1383250/1,1383250,1904908,1,API,Are all the TTS/Speech models down?,short question without enough supporting detail
odc_0008,Ah I didnt know prompt obj is going to deprecate. Very helpful - thank you [USER],underspecified,train,https://community.openai.com/t/prompt-library-variables-used-for-input-seem-to-break-context-in-multi-turn-chats/1382366/4,1382366,1907251,4,API,Prompt Library variables used for input seem to break context in multi-turn chats,help/problem report without enough context
odc_0009,"Hi and welcome to the community! This sounds like an issue to look at. Can you share some identifiers, like Vector store id and request IDs? It will help a lot!",actionable,test,https://community.openai.com/t/openai-vector-store-status-documentation-may-be-incomplete/1383804/2,1383804,1907116,2,Documentation,OpenAI vector store status documentation may be incomplete,concrete technical details/code/error context
odc_0010,"Heya VB, hope you’re well. I’ve actually stumbled on a task I cannot automate at all. I’m at hundreds of hours of conversation across multiple models—ChatGPT/Codex, 5.4, 5.5, ClaudeSonnet/Opus 4.6, 4.7. We’re writing a system ontology; and what we’re doing amounts to one very , very long philosophical conversation about JSON schema. I’m running out of context every day of the last two months… and I thought this would take a week tops. A few weeks (or months now) ago, I tried firing up some subagents to try hammering out the full ontology in a single step. We went through about five iterations from various [very detailed] prompts before it became clear that we needed to go one-by-one for a given “domain” of the overall ontology. We ended up with “a good starting place.” That’s it. Now, we’re at hours and hours of discussion for each DOMAIN schema. It’s actually very exciting to have a top",actionable,train,https://community.openai.com/t/a-g-i-and-you-how-much-of-your-own-work-can-you-automate/1379707/2,1379707,1892228,2,Community,A(G)I and you: how much of your own work can you automate?,concrete technical details/code/error context
odc_0011,"Everyone, look at this! Until recently, the Codex team at OpenAI used to reset the weekly limits for all Codex users either to celebrate major milestones or whenever a major bug was fixed. Everyone was happy with a rate limit reset. Really? Everyone? A group of users who had seriously optimized their Codex usage around their actual needs pointed out that these random gifts could actually be detrimental to their overall usage. We reported this to the team, and they did it. You can now reset limits when it fits your usage. Congratulations, everyone! Let’s build! x.com OpenAI [USER] We heard you wanted to use Codex rate limit resets on your own time. Starting today, we’re rolling out the ability to save rate limit resets to use later. We’re starting Go, Plus, Pro, and Business users with one free reset: pic.x.com/gucyTi04wc 12:11 AM - 12 Jun 2026 16K 1.3K As if this wasn’t enough, there is ",actionable,train,https://community.openai.com/t/flexible-rate-limit-resets-for-codex-and-a-method-to-get-a-reset/1383470/1,1383470,1905792,1,Codex,Flexible Rate Limit Resets for Codex and a method to get a Reset,concrete technical details/code/error context
